Age,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971
14,"821,916","781,734","762,895","753,774","742,309","717,937","698,622","703,435","718,107","737,809","745,516","766,934","759,832","754,421","771,191","769,354","787,658","797,739","778,304","771,589","780,386","765,051","753,535","757,188","725,424","720,696","721,307","734,936","738,569","711,085","656,784","646,302","674,693","699,170","722,164","773,781","821,093","867,871","859,703","892,221","900,527","930,304","938,603","963,679","958,674","933,357","917,783","898,630","866,743","844,264","824,909","804,342"
15,"790,245","765,922","758,013","748,736","724,614","704,623","707,822","721,706","740,596","746,613","767,499","766,677","760,355","778,373","774,764","792,444","801,971","780,683","772,862","781,980","763,141","756,492","755,817","726,527","721,461","722,518","735,895","739,584","711,735","657,369","646,807","676,493","701,236","723,383","774,374","821,601","867,823","860,144","892,271","900,209","929,285","939,309","965,946","961,647","935,004","918,863","899,779","867,384","845,654","826,474","804,557","788,028"
16,"775,793","762,896","753,638","731,761","711,713","712,584","726,792","744,780","749,318","769,182","766,793","767,814","785,804","782,006","798,051","807,833","784,181","776,282","783,883","764,564","756,555","761,269","726,477","722,094","722,828","736,588","739,690","712,032","657,425","646,707","676,068","705,444","726,940","776,850","823,158","868,335","861,884","894,050","901,814","930,895","940,654","966,399","962,444","936,592","919,968","899,501","866,926","844,075","826,364","803,591","785,744","762,549"
17,"774,608","761,384","739,255","720,958","720,080","733,325","752,268","755,014","773,845","769,270","770,769","795,486","788,922","808,043","814,540","790,922","780,388","787,208","765,732","760,044","761,645","732,596","720,437","723,917","736,831","740,178","712,130","657,154","646,532","675,319","702,941","729,537","779,160","824,424","867,313","862,217","894,026","902,839","929,722","947,382","973,805","962,721","938,496","921,502","899,790","866,453","843,330","825,369","802,715","784,497","760,954","778,904"
18,"780,301","757,191","737,119","736,421","747,119","765,965","770,109","786,830","779,419","780,106","803,927","803,310","819,096","829,846","800,978","790,463","794,471","772,665","766,379","768,025","736,288","717,028","708,475","726,774","729,094","702,927","649,900","641,235","671,330","699,549","726,060","779,874","824,500","865,135","860,180","893,361","902,000","929,289","940,119","972,641","964,368","939,449","923,465","901,484","867,481","844,228","827,231","803,724","782,298","758,859","777,849","770,271"
19,"782,064","765,125","762,281","770,093","787,917","789,944","810,699","799,321","799,690","821,213","819,220","839,706","847,570","818,612","808,129","811,923","785,828","783,354","781,569","748,743","727,674","710,702","721,401","726,244","699,477","649,452","641,944","673,717","699,883","726,531","779,327","828,066","866,389","860,298","893,759","903,605","930,407","941,324","967,897","970,642","945,693","926,795","905,432","870,708","846,652","829,115","806,930","784,915","759,464","779,150","772,146","762,667"
20,"786,749","776,002","783,019","805,298","806,293","825,562","817,764","817,595","836,731","832,001","851,665","866,045","833,966","811,583","822,432","797,909","795,987","794,880","758,614","735,413","720,309","741,568","740,293","710,267","665,903","654,441","681,837","706,148","730,588","781,942","828,974","866,431","860,928","893,028","902,426","930,391","941,346","967,728","967,710","947,633","926,815","909,562","875,841","850,040","832,645","810,622","789,615","763,187","781,223","775,357","765,656","783,981"
21,"790,744","789,640","806,969","818,122","837,041","827,417","833,842","850,869","843,802","862,717","875,009","855,381","830,471","827,607","808,618","811,729","812,041","777,718","751,786","731,851","752,706","745,211","711,832","669,203","659,726","685,029","708,147","733,331","782,933","830,398","866,872","861,090","893,599","902,833","928,854","941,473","967,023","967,679","948,094","926,249","905,162","878,441","852,782","834,530","812,787","791,509","766,075","781,160","775,436","766,778","784,321","802,800"
22,"807,218","813,050","814,654","849,656","839,274","846,232","869,209","860,257","876,813","887,236","867,253","854,728","848,825","816,541","828,348","831,523","797,969","777,492","752,707","764,672","759,034","719,715","675,087","666,827","689,704","710,997","736,310","786,289","832,126","867,413","861,451","893,262","902,219","927,865","938,664","965,320","965,688","947,711","926,407","902,571","870,150","854,940","836,418","814,185","790,701","767,539","783,022","775,108","766,823","783,913","803,064","834,101"
23,"838,051","821,599","845,647","849,474","858,775","879,909","879,757","894,302","900,544","880,855","866,337","870,208","834,927","836,218","847,065","819,307","800,503","778,903","784,734","771,236","733,418","686,948","675,278","697,048","713,489","738,709","788,624","835,239","867,425","861,233","892,476","901,743","926,359","935,717","960,959","963,285","945,868","925,472","904,213","865,128","844,646","833,717","812,541","789,500","765,823","782,934","776,724","766,358","783,292","804,273","833,217","890,400"
24,"846,161","840,590","827,915","843,296","867,440","866,986","889,420","894,835","872,962","859,887","861,672","853,101","854,476","854,466","834,632","824,361","803,581","810,059","792,641","745,915","699,406","688,343","704,329","720,682","740,562","790,179","836,647","868,406","860,872","890,964","900,556","925,657","936,160","956,982","958,953","943,490","924,315","904,241","866,844","839,072","822,769","807,617","787,699","764,368","781,827","775,895","765,913","780,752","803,884","831,075","889,292","970,629"
25,"863,339","828,625","837,148","862,124","861,670","884,249","895,151","874,047","858,808","861,124","848,182","864,421","861,150","837,179","836,896","822,502","823,682","813,520","759,510","709,984","699,857","715,272","733,339","749,450","793,528","838,889","870,755","863,465","890,945","899,754","925,074","934,841","957,501","955,618","939,128","921,950","903,532","866,381","841,001","816,994","796,253","784,445","761,274","778,852","773,665","763,173","778,526","800,175","828,143","887,611","969,472","770,016"
26,"850,556","844,543","863,840","864,571","887,410","897,370","882,653","867,072","867,704","852,084","863,676","870,134","843,747","842,148","835,955","841,073","827,704","779,247","721,042","710,224","725,507","743,233","760,926","801,326","842,028","872,277","865,846","893,866","900,842","924,708","933,763","955,226","954,831","936,779","917,981","902,449","865,623","841,156","818,901","791,702","775,033","758,198","775,355","771,312","760,720","776,661","798,701","824,720","884,087","966,926","767,425","756,932"
27,"864,151","872,362","870,018","895,641","903,709","889,983","879,819","879,657","860,163","868,130","871,913","852,420","851,092","842,539","853,381","845,284","793,048","737,694","720,884","735,021","752,375","770,611","811,999","849,610","874,752","867,669","895,624","903,962","926,292","932,926","952,242","952,994","935,582","916,709","899,651","864,343","841,155","819,804","793,335","771,848","750,646","769,103","769,716","758,226","774,345","796,828","823,545","881,052","963,373","764,768","755,740","761,986"
28,"889,860","878,811","901,958","913,114","899,142","888,793","894,013","871,304","875,030","876,793","854,519","862,235","853,021","859,650","858,382","809,923","749,292","737,096","744,731","761,371","779,061","820,313","859,698","880,270","869,510","896,520","906,548","928,686","933,345","949,150","948,606","934,178","915,235","898,069","861,088","839,877","820,010","793,770","772,627","747,495","761,969","765,755","755,151","772,503","794,887","821,426","879,458","960,289","760,762","753,914","760,201","729,477"
29,"893,935","909,990","919,510","909,924","898,209","903,489","883,858","883,978","882,922","858,648","864,110","865,031","868,766","865,221","822,467","762,832","747,666","759,244","770,231","787,266","827,540","866,611","888,216","874,664","898,289","908,202","930,491","934,905","948,926","945,432","931,209","913,014","896,942","859,857","836,851","818,891","793,552","772,326","748,187","758,513","758,297","750,739","770,359","792,723","819,301","877,291","958,950","758,020","749,731","759,067","727,718","668,015"
30,"923,318","926,362","917,585","909,364","913,727","891,842","893,797","890,811","864,217","868,002","867,153","873,519","870,138","830,587","773,236","752,161","767,248","779,498","789,898","830,883","869,144","893,791","882,042","902,674","909,243","932,039","936,403","948,860","943,982","928,136","909,373","897,204","858,865","837,070","817,965","793,722","772,928","748,784","759,122","755,357","744,280","765,061","789,603","817,681","874,834","956,664","756,703","746,044","755,495","725,969","666,153","627,111"
31,"938,381","925,967","916,266","924,700","900,103","899,365","899,573","870,961","872,808","870,714","876,204","875,688","835,379","778,729","761,194","771,104","785,986","797,810","833,412","871,695","896,504","887,277","908,517","913,009","933,090","937,112","948,843","943,379","927,638","906,986","893,905","858,682","836,095","817,873","792,313","772,493","749,093","759,686","755,470","741,919","759,735","786,422","816,014","873,347","954,300","755,227","744,697","752,447","723,426","665,084","625,303","665,131"
32,"936,352","922,706","930,267","907,548","902,999","902,051","876,243","876,815","873,166","878,468","877,245","841,036","781,628","766,795","779,531","789,397","803,950","840,772","873,693","899,979","889,721","912,411","917,802","935,873","937,354","948,809","943,478","927,131","906,306","890,848","856,495","836,852","818,447","792,757","771,392","748,972","760,295","756,325","741,933","757,620","782,133","813,689","871,772","952,964","752,854","743,403","751,283","720,309","662,415","623,607","663,332","668,602"
33,"931,910","936,317","910,810","907,462","904,941","877,904","881,386","876,797","881,701","880,298","842,972","785,109","769,653","784,484","796,622","806,724","845,640","879,413","902,021","891,548","914,039","921,614","940,334","939,332","948,525","942,904","927,360","905,988","890,003","854,979","836,374","819,648","793,432","771,913","748,242","760,365","757,065","743,005","757,930","780,997","809,910","868,562","951,187","752,182","741,217","750,074","718,381","660,354","620,076","662,118","666,245","665,546"
34,"944,582","915,768","909,073","908,649","880,508","883,168","881,620","886,423","884,483","846,493","787,484","773,508","787,309","801,215","813,455","848,253","883,616","908,072","892,408","915,597","922,621","943,362","942,942","948,893","941,315","926,386","905,551","888,441","854,421","835,157","819,728","795,080","772,445","748,332","759,768","757,140","743,630","759,344","780,985","808,543","865,039","948,252","750,850","740,220","748,216","716,800","658,208","616,948","658,914","665,149","663,571","657,996"
35,"923,391","910,612","908,516","882,827","884,927","882,723","891,153","889,066","850,467","790,724","775,996","788,583","802,887","816,015","851,429","888,711","912,248","897,396","917,637","924,030","944,627","944,064","949,807","941,261","924,873","903,693","886,237","852,555","834,849","819,134","794,440","772,649","748,741","759,879","756,190","743,337","759,361","782,060","809,336","864,362","944,719","746,930","738,670","747,088","715,023","656,808","614,526","654,972","662,547","661,940","656,340","647,782"
36,"917,603","908,579","881,949","886,124","883,542","892,479","893,550","854,721","794,125","778,895","791,643","804,006","817,534","853,675","891,097","917,295","899,813","921,788","925,223","945,281","945,544","950,087","942,048","925,621","902,650","884,976","851,818","834,429","820,038","794,327","772,284","749,177","759,849","755,945","742,515","759,497","781,997","809,913","864,744","943,767","744,607","736,066","745,679","714,289","655,243","612,498","652,735","659,578","659,468","654,195","646,507","639,753"
37,"914,533","881,058","884,728","883,715","892,951","894,377","858,188","797,099","781,499","794,509","806,947","818,539","854,894","892,736","920,345","903,384","923,875","928,721","945,806","946,314","951,432","941,668","926,028","902,691","883,249","850,565","833,825","819,713","794,872","771,518","749,196","759,975","756,161","741,348","758,447","781,544","809,400","864,843","943,710","742,155","733,142","742,848","713,455","654,801","610,467","650,674","656,830","656,948","651,028","644,893","637,951","621,159"
38,"886,388","882,692","881,776","893,429","895,217","859,205","800,131","784,263","797,556","810,087","820,965","855,685","893,386","922,706","905,040","926,954","930,120","948,046","947,037","952,516","943,119","925,965","903,084","883,101","849,669","833,139","820,013","794,817","771,658","748,998","759,071","755,430","741,355","757,030","780,323","808,387","863,819","943,328","741,231","730,965","739,423","711,255","653,686","610,082","648,559","654,573","654,358","648,752","641,872","635,766","619,399","628,502"
39,"887,642","879,658","891,895","896,002","859,773","800,673","786,726","800,523","813,246","823,587","857,709","893,601","924,013","905,763","928,136","932,266","948,562","949,064","953,184","944,437","927,446","903,344","883,559","850,395","833,083","820,281","795,178","771,582","749,892","758,830","755,124","741,118","757,943","778,674","807,419","863,256","942,547","740,843","731,077","737,151","707,770","651,955","609,197","648,174","652,188","652,527","646,448","639,932","632,764","618,410","626,005","649,604"
40,"883,372","890,075","894,322","860,053","800,679","786,899","802,973","816,034","826,070","859,933","895,019","923,650","904,374","929,702","930,742","948,962","947,083","954,851","943,509","927,259","906,561","881,083","850,022","832,994","820,064","795,062","771,294","750,104","758,684","753,545","740,844","757,471","779,372","805,774","861,723","941,794","740,357","730,973","737,636","706,785","649,996","606,741","646,365","651,867","650,974","645,025","638,109","629,971","616,093","624,805","648,498","662,563"
41,"892,977","892,737","858,688","800,682","786,783","803,625","818,463","828,325","862,029","896,664","925,843","902,552","928,157","931,385","946,448","947,397","952,989","945,096","925,963","906,559","883,267","849,166","833,774","821,008","794,797","770,829","750,245","758,153","753,216","740,589","756,597","778,970","806,349","861,146","940,432","738,993","729,871","737,136","705,562","648,319","604,878","644,244","650,760","650,340","643,697","636,941","628,587","613,828","622,357","646,632","661,331","666,439"
