Age,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971
54,"928,621","937,271","935,060","944,692","936,177","917,345","898,524","869,844","837,321","820,373","803,649","777,153","753,424","730,296","736,229","730,915","720,340","729,937","752,130","779,715","837,737","888,933","725,971","711,907","706,140","679,619","621,311","582,548","613,749","621,735","620,487","611,007","605,297","597,097","583,770","588,672","610,886","625,397","628,817","623,993","623,235","637,645","652,535","654,544","667,851","677,058","719,907","756,932","797,817","553,291","536,551","601,441"
55,"933,730","933,023","940,623","932,757","914,962","896,390","867,878","835,848","818,893","801,834","774,901","751,163","727,570","733,810","726,957","716,600","726,628","748,578","775,385","831,108","886,632","723,647","709,711","702,628","676,500","617,992","580,466","610,577","618,729","617,491","608,208","601,419","593,319","580,325","584,658","606,112","621,329","624,442","619,555","618,377","632,276","647,269","649,361","661,789","670,782","713,432","750,521","790,305","547,586","531,365","596,123","640,375"
56,"929,471","938,137","928,229","911,326","893,542","865,280","833,657","816,797","799,733","772,386","748,478","724,459","730,776","724,747","711,463","722,942","744,471","771,131","825,143","882,224","718,512","706,657","698,187","673,284","614,232","578,179","607,541","615,199","614,050","604,963","597,914","589,005","576,095","580,267","601,330","616,396","619,463","614,530","613,263","626,595","641,307","643,189","655,150","664,181","706,136","742,909","783,308","542,390","525,391","589,929","633,958","687,158"
57,"934,008","925,295","906,353","889,633","861,927","831,134","814,193","797,268","769,780","745,690","721,670","727,595","722,131","708,148","718,010","740,306","766,836","819,491","878,726","711,956","701,586","693,951","669,530","610,583","574,955","603,785","611,379","609,932","601,049","593,819","584,785","571,549","575,365","596,368","611,067","613,760","608,947","607,800","620,777","635,338","636,504","648,226","656,959","698,822","734,758","774,948","536,308","519,471","582,844","627,410","679,730","691,184"
58,"920,783","903,323","884,555","857,748","827,848","811,094","794,145","766,673","742,789","718,510","724,221","719,216","704,245","714,562","734,958","762,166","813,833","875,500","706,126","695,140","690,424","665,467","606,315","572,124","599,775","607,061","605,996","596,881","589,478","580,169","567,133","570,306","590,783","605,926","607,904","602,363","601,850","614,597","629,225","629,680","640,688","649,859","691,162","726,418","764,998","530,125","512,813","575,483","619,739","671,697","683,975","682,821"
59,"898,679","880,688","852,572","823,564","807,401","790,672","763,087","739,433","715,302","720,658","715,510","699,965","710,825","730,949","756,138","807,785","872,115","700,326","689,208","685,401","660,490","601,731","568,795","595,640","602,612","601,705","592,633","584,936","575,324","562,196","565,773","584,964","600,193","602,067","595,844","594,602","607,800","622,839","622,836","633,309","641,896","682,533","717,643","755,700","522,851","506,292","567,702","611,509","662,589","675,660","673,628","663,781"
60,"875,662","848,435","818,393","802,727","786,430","758,857","735,526","711,408","716,866","711,461","695,886","706,330","726,575","751,203","801,790","865,565","693,225","682,436","680,719","655,278","597,120","564,733","591,520","597,908","596,737","587,949","579,941","570,334","557,244","560,569","579,122","594,078","595,489","589,280","587,736","600,120","615,479","615,273","625,489","633,735","673,028","707,868","746,044","516,429","499,048","560,112","603,006","653,438","666,100","664,744","654,630","660,494"
61,"843,033","814,235","797,216","781,524","754,127","731,192","707,165","712,559","707,249","691,485","701,824","721,225","746,225","795,419","861,644","684,546","675,319","675,078","649,425","592,243","559,096","586,303","593,260","592,122","583,322","574,588","565,263","552,080","555,745","572,845","587,231","588,419","582,068","580,754","592,448","607,129","607,152","617,271","625,564","663,650","697,173","735,832","508,511","491,683","551,004","594,236","643,292","655,855","654,257","644,839","649,425","659,969"
62,"808,776","792,518","775,571","748,639","726,003","702,374","707,831","702,418","686,869","696,901","715,910","740,580","788,886","857,359","678,207","666,741","669,452","642,664","586,604","552,977","580,404","586,931","586,834","577,758","568,631","559,203","545,943","549,555","565,926","579,562","580,587","574,415","572,955","584,471","598,737","598,026","608,047","616,553","653,770","685,949","723,487","498,471","483,521","541,826","584,241","632,635","644,719","643,466","633,608","637,995","647,807","653,100"
63,"786,567","770,014","742,295","720,202","697,007","702,408","697,020","681,612","691,799","710,163","734,692","781,519","852,854","671,635","660,415","662,147","635,511","579,948","546,104","573,959","580,754","580,467","572,296","562,598","552,998","539,626","543,166","558,722","571,679","572,221","566,482","564,621","575,804","590,220","588,730","597,482","606,645","643,124","674,089","710,546","489,470","473,074","531,563","573,834","621,036","632,867","631,301","622,192","625,415","635,421","640,208","636,624"
64,"763,646","736,550","713,587","691,006","696,483","691,190","675,797","686,023","704,199","728,332","774,889","847,610","664,889","653,523","656,888","627,114","573,162","538,241","566,768","574,108","573,792","565,921","556,381","546,645","533,180","536,382","551,164","563,569","563,467","557,836","555,425","566,661","580,662","579,255","587,136","595,013","631,672","661,387","697,036","479,998","464,120","520,175","562,791","608,457","620,124","618,689","608,818","612,371","621,901","626,379","622,876","611,913"
65,"729,707","707,567","684,235","690,076","684,378","669,466","679,627","697,439","721,498","767,490","839,722","657,375","646,963","651,467","621,026","565,815","528,747","559,114","565,880","565,780","558,112","549,825","540,082","526,160","529,311","542,571","554,556","554,310","548,572","545,497","556,738","570,318","568,400","576,420","583,646","617,728","647,775","682,553","470,570","454,264","509,006","551,034","595,331","605,952","604,534","594,564","597,212","606,800","610,880","607,295","596,405","591,194"
66,"700,423","677,727","682,657","677,331","662,535","672,714","690,219","713,879","759,986","831,161","650,196","639,207","645,894","613,964","559,678","520,655","549,995","557,899","557,304","549,364","541,481","532,736","518,692","521,584","534,019","545,005","544,590","538,674","535,016","545,985","558,786","557,278","564,572","572,330","604,751","636,904","667,055","460,278","444,715","497,726","538,501","580,832","592,124","589,987","580,492","582,366","590,870","594,620","591,428","580,754","575,625","575,477"
67,"670,255","675,287","669,251","655,022","665,136","682,260","705,839","751,435","822,288","642,415","631,562","639,479","606,816","552,913","513,367","541,291","548,275","548,875","540,413","532,620","524,147","510,689","513,481","524,516","535,086","534,229","528,123","524,145","534,488","546,324","544,886","552,324","559,702","591,074","621,860","655,382","449,158","434,283","485,985","525,188","565,930","576,177","575,168","565,272","566,683","574,841","577,660","575,061","564,353","559,406","558,635","548,589"
68,"666,982","661,092","646,500","657,167","673,544","697,101","742,125","812,334","634,517","623,349","631,265","598,997","546,142","505,268","533,532","539,371","538,893","531,075","522,888","515,162","501,674","505,221","515,149","524,702","523,636","517,237","512,548","522,831","533,801","532,195","539,199","546,609","576,319","606,690","638,275","436,217","423,077","473,614","511,675","550,389","559,534","559,002","550,031","550,263","557,897","560,551","557,182","546,920","541,955","541,251","531,009","525,663"
69,"652,404","637,654","647,754","664,172","687,459","732,096","801,407","625,501","614,824","622,368","590,304","538,362","497,047","524,991","531,005","529,292","520,447","513,148","505,105","491,598","495,008","505,401","513,994","512,258","505,858","500,391","510,287","520,566","519,000","525,251","532,178","561,134","589,973","620,850","423,836","409,047","460,276","497,137","534,472","542,876","541,136","533,937","534,002","540,596","542,633","539,277","528,394","523,632","522,692","512,813","507,245","494,782"
70,"628,266","638,158","653,744","677,254","720,917","789,679","615,852","605,392","613,080","581,146","529,959","487,997","515,987","521,929","520,161","510,525","502,565","495,302","481,186","484,190","494,532","502,736","500,244","493,732","487,741","496,937","506,257","505,018","510,536","517,047","545,162","572,450","601,903","411,222","396,921","444,026","481,998","517,437","525,583","523,154","515,868","515,839","522,858","524,053","520,303","509,701","504,551","503,754","493,698","488,049","475,866","474,521"
71,"627,862","642,662","665,519","709,545","776,840","605,713","595,134","602,638","571,534","520,954","479,137","506,099","512,583","510,426","500,526","491,988","484,333","470,448","472,690","482,948","490,339","487,998","481,031","474,363","483,403","491,524","489,842","495,301","501,207","528,514","554,835","582,605","397,857","384,336","429,663","464,366","499,581","507,292","504,935","497,539","496,592","504,654","505,575","500,627","490,146","485,303","483,647","474,067","468,122","456,351","454,579","446,522"
72,"631,141","653,376","696,260","763,332","594,268","583,937","591,551","560,559","511,164","469,609","496,031","502,460","500,282","489,755","481,556","473,398","458,752","460,772","470,302","477,001","474,759","468,097","460,387","468,806","476,279","474,407","479,229","484,921","510,738","536,489","561,503","383,809","370,973","415,187","448,111","480,708","488,011","485,650","478,700","476,867","483,581","485,901","480,713","469,785","465,191","463,048","453,334","447,468","435,840","433,913","425,557","395,121"
73,"640,637","682,401","747,530","582,598","571,947","579,358","548,847","500,555","459,822","485,011","491,436","489,447","478,654","470,173","462,481","447,257","447,891","457,624","463,155","460,683","453,756","446,292","453,652","460,084","458,484","462,345","467,530","492,570","517,318","539,781","371,139","357,229","399,424","431,614","461,475","468,458","465,145","458,718","456,825","462,169","463,464","460,827","448,895","444,018","441,824","432,300","426,139","414,959","411,865","404,283","374,997","366,922"
74,"667,794","731,010","568,623","559,502","566,036","536,276","489,169","448,666","474,085","479,691","477,927","466,982","458,366","450,701","435,573","435,092","443,902","449,017","445,942","438,679","431,163","438,447","443,266","441,492","445,259","449,694","473,311","497,350","516,548","357,885","342,496","383,371","413,756","442,189","448,395","444,188","437,884","435,704","440,700","441,393","438,014","426,593","422,817","419,212","410,558","404,058","392,665","389,875","382,096","354,290","346,985","345,420"
75,"713,344","554,189","544,680","552,350","522,325","476,665","436,826","461,398","467,607","465,279","454,485","445,895","438,637","423,142","421,980","430,227","434,094","431,038","422,940","415,400","421,860","426,697","423,768","427,066","431,429","453,548","476,555","493,441","343,662","327,080","365,853","395,628","421,780","428,085","422,982","416,142","413,512","418,475","418,929","415,032","403,859","398,900","397,182","387,878","381,674","370,941","367,151","359,773","333,580","326,351","324,868","319,797"
76,"538,898","529,206","536,112","508,237","462,978","424,297","448,314","453,789","452,524","440,825","432,857","425,781","410,180","408,028","416,093","418,849","415,312","406,727","399,094","404,432","408,791","406,696","408,349","412,194","433,618","455,124","469,237","329,478","311,041","347,970","376,201","401,405","406,299","401,579","394,577","391,004","394,808","395,536","392,105","381,075","375,609","374,689","365,533","358,557","348,403","344,473","337,237","311,977","305,450","303,983","299,060","295,884"
77,"512,862","519,054","491,448","449,417","410,544","434,077","439,434","437,718","427,257","418,660","411,740","396,543","393,671","401,194","403,373","399,193","390,060","382,435","386,498","390,169","387,978","389,994","392,232","412,753","433,515","444,331","314,348","294,838","329,286","354,849","379,659","384,513","379,017","372,962","368,805","371,965","371,372","368,591","358,093","352,535","350,891","342,031","335,861","325,082","321,339","314,585","290,635","284,511","283,124","278,240","275,424","268,015"
78,"501,291","473,757","432,742","396,667","418,533","423,943","422,313","411,691","404,277","396,415","381,978","378,792","386,197","387,181","382,628","373,206","364,910","368,198","371,085","368,717","370,439","373,142","391,122","410,915","419,602","299,108","277,888","310,827","334,690","357,398","361,722","356,614","350,127","346,713","349,072","348,028","344,393","334,999","329,244","327,067","318,170","312,774","302,772","298,192","291,816","269,441","262,935","261,909","257,406","254,717","247,584","249,129"
79,"455,370","415,519","379,697","402,876","407,069","405,681","395,809","387,762","381,241","366,108","363,575","370,086","370,609","365,312","355,954","347,483","349,732","351,408","348,841","350,042","352,967","370,305","387,711","393,387","284,208","260,772","291,437","313,803","334,779","339,167","333,948","327,303","323,334","326,235","324,658","321,040","310,760","305,966","303,669","294,924","289,121","280,282","275,373","268,616","248,623","242,358","240,755","236,571","234,119","226,851","228,355","223,647"
80,"397,325","362,364","383,641","390,143","387,637","378,482","370,715","363,433","350,259","346,757","353,227","353,277","347,786","337,740","329,505","330,662","332,048","328,831","329,384","331,616","347,635","365,123","366,751","268,817","244,002","271,730","291,889","312,226","315,112","311,125","304,349","299,944","301,742","301,037","297,095","288,111","282,345","280,826","273,351","267,536","258,820","253,791","245,817","227,089","221,325","219,760","215,271","213,470","206,917","207,683","203,641","201,687"
81,"344,320","364,360","369,563","369,652","359,476","352,365","345,411","332,199","330,099","334,898","334,630","329,766","319,316","310,566","311,268","312,151","308,639","308,369","309,830","324,575","340,557","341,084","252,882","226,701","252,357","269,924","288,604","291,808","286,831","281,466","277,053","278,151","276,250","273,656","264,904","258,912","256,741","249,864","244,836","235,891","231,239","226,161","206,685","200,297","199,146","195,473","192,608","186,706","187,652","183,538","182,435","179,495"
82,"344,191","348,767","347,826","340,667","332,404","326,079","313,834","311,019","316,621","314,312","310,337","300,521","292,027","291,232","291,535","288,124","287,464","288,311","301,036","315,257","314,906","237,883","209,008","232,322","248,742","265,347","267,892","263,618","257,736","254,134","254,987","252,584","249,436","242,347","236,065","233,825","226,361","222,225","213,915","209,070","203,987","186,949","180,456","178,736","176,064","173,077","166,790","167,956","164,445","163,279","160,619","162,219"
83,"327,388","325,889","318,378","312,687","305,509","294,216","291,544","295,555","294,440","289,693","280,776","272,637","271,513","271,028","267,206","266,578","266,999","277,642","289,696","288,378","219,910","191,747","212,247","226,603","242,710","243,732","239,878","234,964","231,172","232,159","229,539","226,288","218,573","213,983","211,218","204,055","199,604","192,197","187,862","182,496","167,487","161,015","159,277","156,552","154,109","147,739","148,385","145,126","144,740","141,431","143,852","141,204"
84,"303,378","295,874","289,236","285,175","272,954","270,919","274,628","272,075","269,693","259,412","252,363","251,025","250,532","245,920","245,354","245,493","254,456","264,507","261,636","201,906","174,505","192,976","204,716","219,296","221,012","216,645","211,671","208,686","208,555","207,200","203,810","196,125","191,503","189,511","182,508","178,396","170,770","167,111","162,222","148,746","142,994","140,890","138,526","135,144","129,773","129,995","126,205","126,475","123,557","125,685","123,905","118,353"
85,"273,051","266,172","261,009","252,482","249,342","252,489","250,173","246,915","239,160","230,710","230,407","229,527","225,211","223,823","223,730","231,569","239,911","235,449","183,892","156,961","173,721","183,648","196,451","197,397","194,753","189,166","186,206","186,441","184,250","182,212","174,931","169,676","167,472","162,494","158,243","151,147","146,576","142,773","131,136","125,957","124,037","121,097","117,861","112,272","112,620","109,152","109,151","106,571","108,516","106,893","102,121","101,579"
86,"243,207","237,731","228,547","228,441","229,324","227,324","224,476","216,409","210,841","208,738","208,302","204,539","203,029","202,018","208,743","215,438","210,434","166,140","139,392","154,658","163,368","175,214","174,891","172,543","168,009","164,364","164,389","163,036","160,030","154,566","149,401","147,220","141,881","139,052","132,193","127,917","123,865","114,027","109,847","107,834","105,096","101,567","96,328","96,450","93,370","93,507","90,440","92,670","91,187","86,436","86,421","85,686"
87,"214,773","205,763","203,964","207,567","203,366","201,300","194,559","188,295","188,413","186,443","183,628","182,483","181,185","186,046","191,786","185,745","149,197","123,045","135,891","143,407","154,191","154,045","151,156","146,793","144,441","143,256","142,038","140,080","134,146","130,476","128,252","123,019","119,769","114,984","109,849","106,796","97,720","94,566","92,946","90,147","86,883","82,379","81,915","78,500","79,342","76,295","77,892","76,814","72,694","72,034","72,156","69,200"
88,"183,020","180,785","182,506","181,204","177,559","172,360","166,961","165,900","166,264","162,295","161,963","160,883","164,893","168,199","161,306","133,205","107,376","118,130","124,021","133,904","133,872","131,343","126,883","124,256","123,961","122,303","120,399","115,796","111,326","110,587","105,798","102,543","97,973","93,539","90,574","83,319","80,102","79,072","76,635","73,506","69,691","68,260","65,700","66,418","63,611","65,028","63,910","60,202","59,720","59,831","57,080","56,138"
89,"158,487","159,475","155,983","155,657","149,359","145,575","145,047","144,126","142,684","140,765","140,392","144,135","146,399","137,897","117,593","92,615","101,803","105,794","114,660","114,256","112,228","108,693","105,913","105,133","104,461","101,944","97,809","95,008","93,245","90,246","86,962","83,059","77,457","76,082","70,074","67,283","66,117","64,235","61,574","58,092","56,889","55,195","55,305","51,977","53,499","52,659","49,003","48,525","48,723","46,375","45,803","45,219"
90+,"609,898","597,850","588,330","589,438","572,354","571,270","565,393","552,296","548,355","525,790","512,849","485,891","452,808","420,913","406,684","417,777","418,013","415,686","406,865","397,793","387,938","376,806","363,739","353,631","344,122","327,916","316,710","306,121","291,099","281,068","262,922","247,785","237,873","230,100","219,730","212,067","201,915","194,667","187,248","181,521","177,128","174,856","171,035","166,027","159,200","151,845","147,334","144,372","139,935","136,332","132,640","126,701"
All Ages,"33,108,127","32,770,415","32,681,932","32,649,460","32,499,295","32,362,858","32,202,031","31,958,675","31,722,906","31,494,101","31,294,381","31,097,259","30,805,490","30,532,211","30,300,617","30,027,883","29,761,524","29,540,973","29,296,969","29,125,301","28,972,739","28,832,264","28,690,450","28,578,474","28,458,360","28,371,035","28,287,144","28,203,701","28,108,331","28,039,273","27,976,849","27,909,002","27,818,539","27,728,836","27,651,624","27,598,860","27,541,922","27,488,765","27,420,625","27,371,429","27,363,571","27,411,585","27,411,125","27,373,278","27,329,551","27,344,975","27,360,410","27,361,012","27,348,746","27,331,657","27,259,412","27,167,319"
0,"355,524","345,998","358,223","369,114","377,980","387,819","398,858","395,937","396,857","404,832","415,251","409,580","405,124","400,614","403,423","388,360","375,400","366,823","361,598","349,243","338,612","338,443","349,764","361,223","364,935","375,956","369,091","375,130","387,383","387,743","402,275","402,599","395,045","393,224","398,127","386,987","383,733","379,543","364,810","366,340","365,294","373,620","376,584","364,591","336,156","331,765","347,803","363,122","378,049","408,749","433,808","461,352"
1,"353,656","359,627","369,546","377,846","387,378","399,389","397,449","398,573","406,712","416,795","412,171","403,912","399,994","402,969","388,734","377,282","366,440","361,360","349,251","339,228","339,141","348,546","359,406","365,074","374,946","369,029","374,390","386,298","386,349","400,650","401,584","393,976","391,956","397,515","385,243","382,576","379,648","364,079","365,911","364,032","370,934","374,745","362,538","334,612","330,550","345,896","360,858","375,468","405,899","432,329","457,862","449,644"
2,"366,530","368,813","375,683","386,358","398,533","396,828","399,347","407,695","417,838","413,664","405,731","399,930","403,643","389,095","378,671","367,543","360,845","349,512","340,209","340,924","349,621","358,313","364,241","374,945","369,646","373,881","385,618","386,458","400,237","401,537","393,973","392,047","397,335","385,419","382,362","379,659","364,224","365,750","364,095","370,269","373,916","362,229","334,159","330,070","345,017","359,200","373,988","404,009","430,256","456,388","448,140","468,358"
3,"375,590","373,871","384,611","398,030","395,491","398,528","408,138","418,602","415,058","407,022","401,481","404,523","390,187","379,857","367,838","361,635","349,522","340,974","342,852","351,492","359,517","363,915","374,494","370,542","373,854","385,021","386,774","400,153","401,924","394,236","392,315","398,715","386,449","383,623","380,442","365,319","367,024","364,844","370,452","373,261","361,219","333,699","329,271","344,604","358,487","372,263","402,647","428,232","454,877","446,961","466,583","471,609"
4,"379,946","383,539","396,797","394,832","397,526","407,643","419,081","416,433","408,520","402,916","405,728","391,667","381,728","367,838","361,671","350,521","341,460","344,490","353,634","361,705","365,410","374,050","371,197","373,984","384,250","386,591","400,261","402,530","394,705","392,044","398,251","387,158","383,927","380,823","365,349","367,309","366,688","371,271","373,478","360,644","332,932","328,844","343,842","358,054","371,767","401,037","426,928","454,228","445,920","465,135","469,813","484,860"
5,"389,491","396,235","393,575","396,989","407,276","419,012","417,838","410,179","404,697","406,932","392,512","383,111","368,029","361,952","350,729","342,389","345,561","354,666","363,720","367,459","376,220","371,490","373,875","384,347","386,999","400,270","403,413","395,135","392,488","398,474","387,053","384,327","381,020","365,630","367,218","367,012","372,526","374,414","360,902","332,500","328,018","343,368","357,281","371,196","399,799","425,212","453,279","444,475","463,079","468,332","484,542","478,746"
6,"402,328","393,193","396,161","407,304","418,668","418,462","411,621","406,432","408,425","393,456","383,872","368,248","361,997","351,164","343,136","347,282","355,880","364,829","369,284","378,185","373,780","373,501","383,358","387,461","400,250","403,778","396,197","393,056","398,596","387,081","384,087","381,807","366,352","367,989","367,139","372,928","375,458","361,730","332,683","327,657","342,711","356,562","369,932","399,238","424,313","452,295","444,165","461,981","466,507","483,324","477,516","490,694"
7,"399,094","395,949","406,829","418,789","418,811","412,327","407,952","409,933","394,499","384,631","370,394","361,924","351,438","344,137","348,889","357,755","366,203","370,502","380,150","376,159","375,175","381,828","387,225","400,160","404,082","396,543","393,602","398,904","387,494","383,843","382,084","366,999","368,210","367,390","373,095","375,906","362,438","333,414","327,861","342,420","355,707","369,309","398,392","423,947","451,765","443,842","461,055","465,085","481,860","477,097","490,776","489,406"
8,"401,602","406,750","418,212","419,483","412,663","408,727","411,077","395,509","385,467","372,408","364,273","351,669","344,917","350,766","359,513","368,251","371,825","381,145","378,494","376,854","383,922","386,942","399,688","405,028","397,193","393,754","399,274","388,073","384,019","382,686","367,317","368,827","367,900","373,813","375,911","362,809","334,246","328,655","342,657","355,371","368,559","397,693","422,928","451,701","443,708","460,375","463,947","480,411","476,722","491,633","489,785","475,693"
9,"412,248","418,132","419,566","413,554","409,604","411,957","396,622","386,561","374,909","366,935","354,227","345,654","352,334","361,421","370,024","373,679","382,502","380,136","378,428","385,889","387,932","399,291","405,420","397,882","394,031","399,243","388,619","384,045","383,364","367,561","368,312","368,616","373,991","376,013","363,033","334,632","329,591","343,317","355,718","368,224","396,705","422,008","451,375","444,015","459,870","463,169","479,325","476,790","491,227","490,590","475,906","466,476"
10,"423,339","420,377","413,870","410,781","412,617","397,187","387,445","377,213","369,689","356,700","347,408","354,100","363,471","372,366","375,161","384,659","381,835","380,463","387,764","389,623","400,174","405,923","398,470","394,662","399,455","388,935","384,380","384,446","368,306","367,575","367,908","374,440","376,665","363,248","334,544","329,729","343,833","356,408","368,273","396,372","420,955","449,294","444,445","459,701","462,845","478,630","477,145","492,038","491,152","476,562","467,101","458,944"
11,"425,205","414,894","411,475","413,990","397,849","388,209","379,727","372,592","359,527","349,504","354,827","365,394","374,568","377,434","386,222","384,179","381,631","390,199","390,593","401,181","406,993","399,318","395,023","400,346","389,669","384,743","385,696","369,160","367,801","367,978","374,549","377,423","363,853","335,267","330,039","344,467","357,545","369,143","396,298","420,344","447,206","444,438","459,252","463,019","478,239","477,851","492,260","491,631","477,188","467,933","458,689","443,770"
12,"419,538","412,660","414,609","398,910","388,975","382,037","375,563","362,401","351,702","355,692","365,750","376,524","379,513","388,510","386,034","383,294","391,486","391,743","401,093","407,894","399,361","395,515","400,521","390,342","384,983","386,347","370,043","367,813","367,808","374,347","377,014","364,362","335,629","330,331","344,587","357,615","369,605","396,688","420,102","445,406","442,858","459,280","462,718","478,092","478,909","493,151","491,895","477,940","468,475","459,193","443,788","433,399"
13,"417,190","415,915","399,420","389,984","384,450","378,410","365,510","354,247","356,964","366,475","376,827","381,599","390,716","388,733","384,643","393,549","392,176","401,356","407,911","399,706","394,656","400,912","390,985","385,473","387,543","370,731","367,856","367,832","374,490","376,873","364,222","336,326","330,896","344,903","357,786","369,969","397,287","420,517","444,037","441,410","457,672","462,889","477,923","480,231","494,414","492,527","478,471","468,505","459,461","444,345","433,069","424,270"
14,"420,487","400,955","391,224","387,542","381,721","368,849","357,130","358,750","367,659","377,464","381,502","392,835","391,219","386,599","395,098","393,069","400,780","408,281","398,982","394,128","398,801","391,655","385,763","388,480","371,317","367,760","368,156","374,697","377,055","364,030","336,008","331,472","345,668","357,836","370,031","397,441","421,073","443,286","440,326","456,404","461,393","478,901","481,491","495,786","493,329","479,359","469,205","459,620","444,614","433,059","424,498","414,645"
15,"405,549","392,805","389,639","385,335","372,518","360,239","361,081","369,526","378,834","381,900","392,942","395,133","390,167","398,947","395,569","402,974","411,034","399,985","394,235","398,612","389,787","387,827","388,092","371,965","368,285","368,738","375,001","377,189","364,014","335,945","331,314","346,593","358,885","370,561","397,669","421,255","442,676","440,143","456,209","460,812","477,819","481,892","496,782","494,805","480,047","469,413","459,871","444,750","433,095","424,390","414,272","406,437"
16,"398,562","392,238","387,961","376,296","363,740","363,393","372,087","380,971","383,149","393,582","394,958","394,082","403,447","399,088","405,139","413,958","402,594","395,196","398,439","388,737","388,023","391,529","372,243","368,642","368,738","375,209","377,001","363,635","335,452","330,770","345,821","361,836","373,236","399,326","422,464","442,963","441,081","457,135","461,610","478,861","482,785","496,822","494,405","480,058","469,334","458,584","443,322","431,127","423,207","412,467","403,770","391,494"
17,"399,475","392,006","380,183","368,361","366,962","375,178","384,714","386,021","395,785","395,885","395,350","408,483","403,074","409,294","416,374","406,315","398,028","398,464","387,468","388,945","391,871","376,045","368,023","369,382","375,207","377,033","363,457","334,665","330,088","344,844","359,114","373,556","399,938","421,930","440,983","440,033","455,455","460,614","476,137","486,030","501,456","494,488","480,322","469,646","457,183","441,745","429,446","421,318","410,750","401,909","389,609","398,325"
18,"402,266","389,162","375,911","374,757","381,749","391,206","393,513","402,322","400,794","399,610","412,313","409,760","415,043","422,883","409,924","402,475","402,857","387,827","391,023","394,525","378,425","366,116","360,375","367,957","369,144","356,389","328,816","325,317","340,735","355,673","370,105","399,529","421,923","438,599","438,010","453,808","458,523","474,432","478,353","498,250","494,547","479,943","469,727","457,549","441,204","429,216","421,689","410,664","399,139","386,663","396,801","392,033"
19,"402,751","388,835","386,634","391,666","400,781","401,988","413,364","409,729","408,477","419,726","416,894","424,096","432,314","416,476","408,047","409,751","395,363","395,970","399,249","383,935","372,172","357,997","360,922","361,435","348,096","322,006","319,054","336,157","350,527","366,197","395,860","423,364","439,297","437,176","453,584","458,597","473,856","477,697","493,273","495,007","481,182","470,847","459,359","442,580","429,551","422,149","412,188","400,431","386,472","396,713","393,417","387,303"
20,"400,955","393,217","397,385","407,751","408,113","419,257","417,668","416,498","426,483","422,502","429,597","442,154","425,314","408,564","412,341","399,665","399,560","403,653","387,809","373,612","360,791","372,326","373,039","359,060","335,561","330,487","344,779","357,244","370,417","398,187","422,297","437,341","436,826","451,680","456,517","472,142","475,412","491,180","491,660","479,580","468,931","461,625","445,581","431,610","423,727","414,488","403,851","389,205","398,784","395,706","389,884","398,212"
21,"402,019","400,039","407,972","411,986","422,496","420,294","422,858","432,106","427,187","433,884","445,087","436,928","419,070","412,834","401,541","407,229","409,312","394,665","380,624","364,698","375,954","373,934","357,911","336,043","331,749","345,410","357,141","370,378","396,888","421,664","436,625","435,884","451,695","455,974","470,688","474,556","489,136","490,560","479,568","467,237","457,594","446,589","432,334","424,560","414,984","404,902","391,121","398,499","395,657","390,395","398,121","406,065"
22,"410,453","408,735","407,849","423,780","420,378","423,924","436,037","431,370","437,097","446,360","438,192","431,718","424,135","402,912","412,831","418,780","401,200","390,130","374,808","380,154","378,964","360,485","337,538","333,747","346,406","357,333","370,552","397,135","420,685","435,997","434,746","449,859","454,912","468,985","471,845","486,852","487,516","478,194","466,906","455,500","440,168","433,582","424,993","415,802","403,663","392,106","399,564","394,485","390,183","397,718","405,927","420,130"
23,"423,237","409,506","420,439","421,049","425,066","436,981","436,322","442,730","449,016","440,022","433,022","436,069","413,317","415,723","424,825","412,291","398,824","386,453","390,748","383,920","366,235","342,457","336,437","348,844","357,377","370,328","396,725","420,490","434,055","433,134","447,971","453,097","467,344","468,466","483,367","485,257","475,672","465,464","456,834","436,896","425,948","422,048","413,076","402,677","389,946","398,670","395,455","389,536","397,109","406,193","419,814","447,176"
24,"423,557","417,351","411,157","417,055","429,080","428,725","438,516","445,197","434,500","427,411","429,437","423,165","427,114","427,425","417,957","410,929","396,871","402,318","395,601","371,628","348,147","342,750","351,659","359,755","369,705","396,120","419,717","433,373","431,024","445,879","451,252","465,385","468,799","479,402","481,916","473,646","463,513","456,375","438,355","422,078","414,415","407,976","400,725","388,831","396,870","394,175","388,822","395,269","405,774","418,412","446,871","489,364"
25,"430,444","410,613","412,990","424,686","423,584","434,016","442,260","432,719","424,229","425,910","417,818","433,531","429,964","417,678","418,270","406,738","409,499","404,960","377,446","353,523","349,973","357,748","365,353","373,304","396,635","419,549","434,141","431,661","444,350","449,701","464,089","465,881","479,772","478,555","470,274","461,420","455,007","437,502","423,418","410,300","399,864","396,882","386,091","394,839","391,882","386,371","394,085","404,493","417,551","446,094","489,608","388,770"
